Geo Shape;NOM_ARRET;ID_PROJET;NOM_PROJET;ID_TRONCON;TRONCON;NATURE;ID_MODE;MODE;SOUS_MODE;COR_EXIST;TERMINUS;PHASE;VARIANTE;CREATION;PROLONG;AMELIOR;STATUT;MES;MES_date;DUP;DUP_DATE;OPENDATA;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [2.307736084785955, 48.7006066740478]}";Chilly-Mazarin;318;Tram 12;318;Tram-Train Massy-Évry;arrêt;3;3;5;1;0;;;1;0;0;8;0;;1;;1;48.700606674, 2.30773608479
"{""type"": ""Point"", ""coordinates"": [2.427594780443727, 48.62468182599698]}";Évry-Courcouronnes;318;Tram 12;318;Tram-Train Massy-Évry;arrêt;3;3;5;1;1;;;1;0;0;8;0;;1;;1;48.624681826, 2.42759478044
"{""type"": ""Point"", ""coordinates"": [2.07748617065351, 48.80737920155234]}";Saint-Cyr ZAC;319;Tram 13;319;Tangentielle Ouest (Phase 1);arrêt;3;3;5;0;0;1;;0;1;0;8;0;;1;;1;48.8073792016, 2.07748617065
"{""type"": ""Point"", ""coordinates"": [2.365961635294149, 48.90657577322287]}";Front Populaire;111;metro 12;111;ligne 12 à Mairie d'Aubervilliers;arrêt;1;1;1;0;1;;;0;1;0;9;1;2012-12-18T00:00:00+00:00;1;;1;48.9065757732, 2.36596163529
"{""type"": ""Point"", ""coordinates"": [2.377741481106109, 48.908082437820255]}";Aimé Césaire;111;metro 12;111;ligne 12 à Mairie d'Aubervilliers;arrêt;1;1;1;0;0;;;0;1;0;9;0;;1;;1;48.9080824378, 2.37774148111
"{""type"": ""Point"", ""coordinates"": [2.318031246857529, 48.80268907735131]}";Bagneux;102;metro 04;102;ligne 4 à Bagneux;arrêt;1;1;1;1;1;2;;0;1;0;9;0;;1;;1;48.8026890774, 2.31803124686
"{""type"": ""Point"", ""coordinates"": [2.302349206479093, 48.954363518529156]}";Epinay-sur-Seine;317;Tram 11;317;Tangentielle Nord : Epinay - Le Bourget (Phase 1);arrêt;3;3;5;1;1;;;1;0;0;9;0;;1;;1;48.9543635185, 2.30234920648
"{""type"": ""Point"", ""coordinates"": [2.341941308454401, 48.959895717000975]}";Villetaneuse - Université;317;Tram 11;317;Tangentielle Nord : Epinay - Le Bourget (Phase 1);arrêt;3;3;5;0;0;;;1;0;0;9;0;;1;;1;48.959895717, 2.34194130845
"{""type"": ""Point"", ""coordinates"": [2.390836785121254, 48.95483942556953]}";Stains-Cerisaie;317;Tram 11;317;Tangentielle Nord : Epinay - Le Bourget (Phase 1);arrêt;3;3;5;0;0;;;1;0;0;9;0;;1;;1;48.9548394256, 2.39083678512
"{""type"": ""Point"", ""coordinates"": [2.1571763340521, 48.937620572359904]}";Sartrouville;317;Tram 11;317;Tangentielle Nord : Sartrouville - Epinay (Phase 2);arrêt;3;3;5;1;1;;;1;0;0;7;0;;1;;1;48.9376205724, 2.15717633405
"{""type"": ""Point"", ""coordinates"": [2.488352828214857, 48.86043344825147]}";Faidherbe;304;Tram 01 - VDF;304;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;3;4;0;0;;;0;1;0;8;0;;1;;1;48.8604334483, 2.48835282821
"{""type"": ""Point"", ""coordinates"": [2.44082220524926, 48.883135902122085]}";Place Carnot;110;metro 11 - RBP;110;ligne 11 à Rosny-Bois-Perrier;arrêt;1;1;1;1;0;;;0;1;0;9;0;;1;;1;48.8831359021, 2.44082220525
"{""type"": ""Point"", ""coordinates"": [2.094948285629467, 48.9017160205207]}";Saint-Germain RER;319;Tram 13;319;Tangentielle Ouest (Phase 1);arrêt;3;3;5;1;1;1;;0;1;0;8;0;;1;;1;48.9017160205, 2.09494828563
"{""type"": ""Point"", ""coordinates"": [2.072966450012981, 48.79877820041291]}";Saint-Cyr RER;319;Tram 13;319;Tangentielle Ouest (Phase 1);arrêt;3;3;5;1;1;1;;0;1;0;8;0;;1;;1;48.7987782004, 2.07296645001
"{""type"": ""Point"", ""coordinates"": [2.395341508371068, 48.63395897487315]}";Croizat;318;Tram 12;318;Tram-Train Massy-Évry;arrêt;3;3;5;0;0;;;1;0;0;8;0;;1;;1;48.6339589749, 2.39534150837
"{""type"": ""Point"", ""coordinates"": [2.257023879004012, 48.803325862281675]}";Place du Garde;316;Tram 10;316;T10 : Tramway Antony - Clamart;arrêt;3;3;4;0;1;;;1;0;0;7;0;;1;;1;48.8033258623, 2.257023879
"{""type"": ""Point"", ""coordinates"": [2.252691294125849, 48.79007344104897]}";Jardin Parisien;316;Tram 10;316;T10 : Tramway Antony - Clamart;arrêt;3;3;4;0;0;;;1;0;0;7;0;;1;;1;48.790073441, 2.25269129413
"{""type"": ""Point"", ""coordinates"": [2.532188673268823, 48.90858195942553]}";Léon Blum;308;Tram 04 - CM;308;T4 Clichy - Montfermeil;arrêt;3;3;5;0;0;;;0;1;0;9;0;;1;;1;48.9085819594, 2.53218867327
"{""type"": ""Point"", ""coordinates"": [2.517025495287702, 48.90816541612633]}";Gargan;308;Tram 04 - CM;308;T4 Clichy - Montfermeil;arrêt;3;3;5;1;1;;;0;1;0;9;0;;1;;1;48.9081654161, 2.51702549529
"{""type"": ""Point"", ""coordinates"": [2.567307207676798, 48.90021873659585]}";Henri Barbusse;308;Tram 04 - CM;308;T4 Clichy - Montfermeil;arrêt;3;3;5;0;0;;;0;1;0;9;0;;1;;1;48.9002187366, 2.56730720768
